LOCATION,year,value
AUS,1994,25.38954905
AUS,1995,25.69604283
AUS,1996,25.90366764
AUS,1997,26.94179173
AUS,1998,28.92114832
AUS,1999,31.01914766
AUS,2000,33.59567277
AUS,2001,37.3685123
AUS,2002,44.37238946
AUS,2003,52.37565666
AUS,2004,55.647
AUS,2005,56.66475
AUS,2006,60.5795
AUS,2007,66.96025
AUS,2008,69.60275
AUS,2009,72.42125
AUS,2010,80.877
AUS,2011,79.13475
AUS,2012,78.88025
AUS,2013,84.1065
AUS,2014,91.72025
AUS,2015,100
AUS,2016,105.5
AUS,2017,114.30825
AUS,2018,112.66375
AUS,2019,108.08375
AUS,2020,113.9165
AUS,2021,133.76375